state,date,admission,maskwearing,delphi_samplesize,maskwearing_stderr,symptom,symptoms_stderr
nj,2021-05-05,154.2857143,0.8547807,4625.9988,0.14317,0.8547807,0.14317
nm,2021-05-05,23.1428571,0.8800715,1820.7981,0.2749766,0.8800715,0.2749766
nv,2021-05-05,44.1428571,0.6137823,1458.1028,0.240112,0.6137823,0.240112
ny,2021-05-05,274.5714286,0.5972667,9618.0004,0.0765404,0.5972667,0.0765404
oh,2021-05-05,179.4285714,1.3133505,7501.0019,0.2444603,1.3133505,0.2444603
ok,2021-05-05,32.8571429,0.7967586,2396.999,0.1925615,0.7967586,0.1925615
or,2021-05-05,39.4285714,0.8406371,3434.6012,0.2281101,0.8406371,0.2281101
pa,2021-05-05,260.7142857,1.0989585,8439.0037,0.1554876,1.0989585,0.1554876
pr,2021-05-05,24.4285714,,,,,
ri,2021-05-05,7.4285714,0.401159,789.987,0.2386155,0.401159,0.2386155
sc,2021-05-05,44,1.4617929,3467.0035,0.3175022,1.4617929,0.3175022
sd,2021-05-05,10.7142857,1.806767,710.8716,0.4848472,1.806767,0.4848472
tn,2021-05-05,86.4285714,1.433125,4104.536,0.2678027,1.433125,0.2678027
tx,2021-05-05,334.1428571,1.0147385,12218.021,0.1077978,1.0147385,0.1077978
ut,2021-05-05,24.7142857,0.7470231,1724.155,0.2119883,0.7470231,0.2119883
va,2021-05-05,84.7142857,0.6311644,5630.2207,0.1129713,0.6311644,0.1129713
vi,2021-05-05,0.2857143,,,,,
vt,2021-05-05,3.1428571,0.3204896,643.0005,0.1896129,0.3204896,0.1896129
wa,2021-05-05,70,0.6601037,5449.9725,0.1367492,0.6601037,0.1367492
wi,2021-05-05,87.1428571,0.7756772,3993.0055,0.1387159,0.7756772,0.1387159
wv,2021-05-05,35.4285714,1.0809728,1552.0051,0.2916502,1.0809728,0.2916502
wy,2021-05-05,5.8571429,0.5702096,434.7797,0.316085,0.5702096,0.316085
ak,2021-05-06,5,0.7800584,559,0.3681966,0.7800584,0.3681966
al,2021-05-06,65.8571429,0.6555303,2508.0546,0.1564463,0.6555303,0.1564463
ar,2021-05-06,37.1428571,0.9847921,1691.3636,0.3025228,0.9847921,0.3025228
az,2021-05-06,72.1428571,0.7854235,4215.8393,0.1737271,0.7854235,0.1737271
ca,2021-05-06,222.2857143,0.6440276,16842.7698,0.0678314,0.6440276,0.0678314
