,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
151,az,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.2516157,0.6619403,2453.55,state,fb-survey
152,ca,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.2797751,0.3213965,10428.1624,state,fb-survey
153,co,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.4227057,0.6842191,2323.8992,state,fb-survey
154,ct,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,7.898545,0.621393,1884.0,state,fb-survey
155,dc,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.2328183,2.3524937,194.0,state,fb-survey
156,de,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,13.6037128,1.4500079,559.0,state,fb-survey
157,fl,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,11.337532,0.352671,8082.0004,state,fb-survey
158,ga,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,11.0789687,0.5761328,2967.9644,state,fb-survey
159,hi,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,9.9202196,1.4299919,437.0,state,fb-survey
160,ia,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.199319,0.7942905,1697.7539,state,fb-survey
161,id,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,14.6872241,1.1785891,902.0466,state,fb-survey
162,il,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,11.8599411,0.4560998,5025.0002,state,fb-survey
163,in,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.9773484,0.633726,2811.999,state,fb-survey
164,ks,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.0333725,0.8816124,1361.9147,state,fb-survey
165,ky,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,15.8509335,0.8604979,1801.3766,state,fb-survey
166,la,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,13.039094,0.8232615,1672.9996,state,fb-survey
