,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
117,in,smoothed_wearing_mask,2021-01-03,2021-01-08,5,92.0659993,0.3317992,6634.9989,state,fb-survey
118,ks,smoothed_wearing_mask,2021-01-03,2021-01-08,5,91.2691519,0.4973117,3221.9813,state,fb-survey
119,ky,smoothed_wearing_mask,2021-01-03,2021-01-08,5,93.0064294,0.3846727,4395.7112,state,fb-survey
120,la,smoothed_wearing_mask,2021-01-03,2021-01-08,5,89.5951795,0.4698392,4222.996,state,fb-survey
121,ma,smoothed_wearing_mask,2021-01-03,2021-01-08,5,96.8504524,0.2307263,5730.0135,state,fb-survey
122,md,smoothed_wearing_mask,2021-01-03,2021-01-08,5,97.4482174,0.2304588,4681.9969,state,fb-survey
123,me,smoothed_wearing_mask,2021-01-03,2021-01-08,5,94.7652582,0.4827079,2129.0,state,fb-survey
124,mi,smoothed_wearing_mask,2021-01-03,2021-01-08,5,94.1939081,0.2171412,11599.0455,state,fb-survey
125,mn,smoothed_wearing_mask,2021-01-03,2021-01-08,5,93.5427256,0.3584823,4700.2823,state,fb-survey
126,mo,smoothed_wearing_mask,2021-01-03,2021-01-08,5,88.4452827,0.4384528,5316.0414,state,fb-survey
127,ms,smoothed_wearing_mask,2021-01-03,2021-01-08,5,89.9799411,0.5693051,2781.8,state,fb-survey
128,mt,smoothed_wearing_mask,2021-01-03,2021-01-08,5,87.7351778,0.8738239,1409.2471,state,fb-survey
129,nc,smoothed_wearing_mask,2021-01-03,2021-01-08,5,93.2773425,0.2425721,10657.0129,state,fb-survey
130,nd,smoothed_wearing_mask,2021-01-03,2021-01-08,5,87.9698488,1.177784,762.9106,state,fb-survey
131,ne,smoothed_wearing_mask,2021-01-03,2021-01-08,5,90.2639413,0.66196,2005.5522,state,fb-survey
132,nh,smoothed_wearing_mask,2021-01-03,2021-01-08,5,96.1182519,0.4380952,1944.0,state,fb-survey
133,nj,smoothed_wearing_mask,2021-01-03,2021-01-08,5,96.213962,0.2351267,6588.9973,state,fb-survey
134,nm,smoothed_wearing_mask,2021-01-03,2021-01-08,5,95.1570009,0.4395652,2385.1103,state,fb-survey
